,Unnamed: 0,Unnamed: 0.1,state,job_opportunity_rank,affordability,economy,education and health,quality of life,safety,Climate,title,totalyearlycompensation,yearsofexperience,Education
0,0,0,Alabama,2,0,3,4,4,4,0,Software Engineer,84000,3,-1
1,1,1,Alabama,2,0,3,4,4,4,0,Software Engineer,70000,2,-1
2,2,2,Alabama,2,0,3,4,4,4,0,Software Engineer,112000,5,1
3,3,3,Alabama,2,0,3,4,4,4,0,Software Engineer,71000,2,-1
4,4,4,Alabama,2,0,3,4,4,4,0,Software Engineer,84000,2,-1
5,5,5,Alabama,2,0,3,4,4,4,0,Software Engineer,101000,5,2
6,6,6,Alabama,2,0,3,4,4,4,0,Software Engineer,118000,2,2
7,7,7,Alabama,2,0,3,4,4,4,0,Software Engineer,85000,2,-1
8,8,8,Alabama,2,0,3,4,4,4,0,Software Engineer,152000,11,4
9,9,9,Alabama,2,0,3,4,4,4,0,Software Engineer,87000,6,2
10,10,10,Alabama,2,0,3,4,4,4,0,Software Engineer,68000,3,1
11,11,11,Alabama,2,0,3,4,4,4,0,Data Scientist,187000,13,0
12,12,12,Alabama,2,0,3,4,4,4,0,Product Manager,158000,10,2
13,13,13,Alabama,2,0,3,4,4,4,0,Software Engineer,145000,2,-1
14,14,14,Alabama,2,0,3,4,4,4,0,Software Engineer,175000,15,1
15,15,15,Alabama,2,0,3,4,4,4,0,Software Engineer,138000,8,-1
16,16,16,Alabama,2,0,3,4,4,4,0,Data Scientist,153000,6,1
17,17,17,Alabama,2,0,3,4,4,4,0,Technical Program Manager,169000,14,1
18,18,18,Alabama,2,0,3,4,4,4,0,Solution Architect,136000,1,3
19,19,19,Alabama,2,0,3,4,4,4,0,Software Engineer,125000,3,2
20,20,20,Alabama,2,0,3,4,4,4,0,Data Scientist,156000,13,0
21,21,21,Alabama,2,0,3,4,4,4,0,Software Engineer,173000,15,-1
22,22,22,Alabama,2,0,3,4,4,4,0,Software Engineer,126000,3,2
23,23,23,Alabama,2,0,3,4,4,4,0,Software Engineer,184000,1,2
24,24,24,Alabama,2,0,3,4,4,4,0,Software Engineer,142000,7,2
25,25,25,Arizona,1,2,1,4,1,4,1,Software Engineer,120000,7,-1
26,26,26,Arizona,1,2,1,4,1,4,1,Software Engineer,76000,4,-1
27,27,27,Arizona,1,2,1,4,1,4,1,Software Engineer,90000,1,-1
28,28,28,Arizona,1,2,1,4,1,4,1,Product Manager,240000,16,-1
29,29,29,Arizona,1,2,1,4,1,4,1,Product Manager,240000,16,-1
30,30,30,Arizona,1,2,1,4,1,4,1,Software Engineer,200000,13,-1
31,31,31,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,283000,20,-1
32,32,32,Arizona,1,2,1,4,1,4,1,Software Engineer,190000,19,-1
33,33,33,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,0,-1
34,34,34,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,1,-1
35,35,35,Arizona,1,2,1,4,1,4,1,Software Engineer,115000,3,-1
36,36,36,Arizona,1,2,1,4,1,4,1,Software Engineer,235000,2,-1
37,37,37,Arizona,1,2,1,4,1,4,1,Product Designer,140000,15,-1
38,38,38,Arizona,1,2,1,4,1,4,1,Software Engineer,155000,0,-1
39,39,39,Arizona,1,2,1,4,1,4,1,Software Engineer,115000,4,-1
40,40,40,Arizona,1,2,1,4,1,4,1,Solution Architect,180000,16,-1
41,41,41,Arizona,1,2,1,4,1,4,1,Hardware Engineer,385000,29,-1
42,42,42,Arizona,1,2,1,4,1,4,1,Software Engineer,154000,19,-1
43,43,43,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,360000,14,-1
44,44,44,Arizona,1,2,1,4,1,4,1,Software Engineer,140000,14,-1
45,45,45,Arizona,1,2,1,4,1,4,1,Solution Architect,150000,14,-1
46,46,46,Arizona,1,2,1,4,1,4,1,Software Engineer,165000,10,-1
47,47,47,Arizona,1,2,1,4,1,4,1,Software Engineer,340000,15,-1
48,48,48,Arizona,1,2,1,4,1,4,1,Software Engineer,217000,14,-1
49,49,49,Arizona,1,2,1,4,1,4,1,Software Engineer,530000,18,-1
50,50,50,Arizona,1,2,1,4,1,4,1,Software Engineer,63000,1,-1
51,51,51,Arizona,1,2,1,4,1,4,1,Data Scientist,193000,6,-1
52,52,52,Arizona,1,2,1,4,1,4,1,Software Engineer,88000,3,-1
53,53,53,Arizona,1,2,1,4,1,4,1,Software Engineer,196000,5,-1
54,54,54,Arizona,1,2,1,4,1,4,1,Software Engineer,93000,3,-1
55,55,55,Arizona,1,2,1,4,1,4,1,Software Engineer,105000,3,-1
56,56,56,Arizona,1,2,1,4,1,4,1,Hardware Engineer,130000,6,-1
57,57,57,Arizona,1,2,1,4,1,4,1,Software Engineer,124000,8,-1
58,58,58,Arizona,1,2,1,4,1,4,1,Software Engineer,158000,4,-1
59,59,59,Arizona,1,2,1,4,1,4,1,Software Engineer,155000,41,-1
60,60,60,Arizona,1,2,1,4,1,4,1,Software Engineer,107000,0,-1
61,61,61,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,8,-1
62,62,62,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,0,-1
63,63,63,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,0,-1
64,64,64,Arizona,1,2,1,4,1,4,1,Software Engineer,163000,12,-1
65,65,65,Arizona,1,2,1,4,1,4,1,Data Scientist,98000,6,-1
66,66,66,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,5,-1
67,67,67,Arizona,1,2,1,4,1,4,1,Software Engineer,158000,4,1
68,68,68,Arizona,1,2,1,4,1,4,1,Software Engineer,80000,1,-1
69,69,69,Arizona,1,2,1,4,1,4,1,Software Engineer,151000,5,-1
70,70,70,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,1,-1
71,71,71,Arizona,1,2,1,4,1,4,1,Software Engineer,136000,8,-1
72,72,72,Arizona,1,2,1,4,1,4,1,Software Engineer,152000,0,1
73,73,73,Arizona,1,2,1,4,1,4,1,Software Engineer,85000,1,-1
74,74,74,Arizona,1,2,1,4,1,4,1,Software Engineer,132000,7,1
75,75,75,Arizona,1,2,1,4,1,4,1,Software Engineer,140000,2,1
76,76,76,Arizona,1,2,1,4,1,4,1,Software Engineer,158000,10,-1
77,77,77,Arizona,1,2,1,4,1,4,1,Hardware Engineer,153000,5,1
78,78,78,Arizona,1,2,1,4,1,4,1,Software Engineer,110000,0,1
79,79,79,Arizona,1,2,1,4,1,4,1,Software Engineer,136000,5,1
80,80,80,Arizona,1,2,1,4,1,4,1,Software Engineer,238000,8,-1
81,81,81,Arizona,1,2,1,4,1,4,1,Software Engineer,120000,2,1
82,82,82,Arizona,1,2,1,4,1,4,1,Software Engineer,99000,6,-1
83,83,83,Arizona,1,2,1,4,1,4,1,Software Engineer,103000,12,-1
84,84,84,Arizona,1,2,1,4,1,4,1,Software Engineer,74000,1,-1
85,85,85,Arizona,1,2,1,4,1,4,1,Software Engineer,164000,9,1
