,state,job_opportunity_rank,affordability,economy,education and health,quality of life,safety,Climate,title,totalyearlycompensation,yearsofexperience,Education
0,Alabama,2,0,3,4,4,4,0,Software Engineer,84000,3,-1
1,Alabama,2,0,3,4,4,4,0,Software Engineer,70000,2,-1
2,Alabama,2,0,3,4,4,4,0,Software Engineer,112000,5,1
3,Alabama,2,0,3,4,4,4,0,Software Engineer,71000,2,-1
4,Alabama,2,0,3,4,4,4,0,Software Engineer,84000,2,-1
5,Alabama,2,0,3,4,4,4,0,Software Engineer,101000,5,2
6,Alabama,2,0,3,4,4,4,0,Software Engineer,118000,2,2
7,Alabama,2,0,3,4,4,4,0,Software Engineer,85000,2,-1
8,Alabama,2,0,3,4,4,4,0,Software Engineer,152000,11,4
9,Alabama,2,0,3,4,4,4,0,Software Engineer,87000,6,2
10,Alabama,2,0,3,4,4,4,0,Software Engineer,68000,3,1
11,Alabama,2,0,3,4,4,4,0,Data Scientist,187000,13,0
12,Alabama,2,0,3,4,4,4,0,Product Manager,158000,10,2
13,Alabama,2,0,3,4,4,4,0,Software Engineer,145000,2,-1
14,Alabama,2,0,3,4,4,4,0,Software Engineer,175000,15,1
15,Alabama,2,0,3,4,4,4,0,Software Engineer,138000,8,-1
16,Alabama,2,0,3,4,4,4,0,Data Scientist,153000,6,1
17,Alabama,2,0,3,4,4,4,0,Technical Program Manager,169000,14,1
18,Alabama,2,0,3,4,4,4,0,Solution Architect,136000,1,3
19,Alabama,2,0,3,4,4,4,0,Software Engineer,125000,3,2
20,Alabama,2,0,3,4,4,4,0,Data Scientist,156000,13,0
21,Alabama,2,0,3,4,4,4,0,Software Engineer,173000,15,-1
22,Alabama,2,0,3,4,4,4,0,Software Engineer,126000,3,2
23,Alabama,2,0,3,4,4,4,0,Software Engineer,184000,1,2
24,Alabama,2,0,3,4,4,4,0,Software Engineer,142000,7,2
25,Arizona,1,2,1,4,1,4,1,Software Engineer,120000,7,-1
26,Arizona,1,2,1,4,1,4,1,Software Engineer,76000,4,-1
27,Arizona,1,2,1,4,1,4,1,Software Engineer,90000,1,-1
28,Arizona,1,2,1,4,1,4,1,Product Manager,240000,16,-1
29,Arizona,1,2,1,4,1,4,1,Product Manager,240000,16,-1
30,Arizona,1,2,1,4,1,4,1,Software Engineer,200000,13,-1
31,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,283000,20,-1
32,Arizona,1,2,1,4,1,4,1,Software Engineer,190000,19,-1
33,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,0,-1
34,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,1,-1
35,Arizona,1,2,1,4,1,4,1,Software Engineer,115000,3,-1
36,Arizona,1,2,1,4,1,4,1,Software Engineer,235000,2,-1
37,Arizona,1,2,1,4,1,4,1,Product Designer,140000,15,-1
38,Arizona,1,2,1,4,1,4,1,Software Engineer,155000,0,-1
39,Arizona,1,2,1,4,1,4,1,Software Engineer,115000,4,-1
40,Arizona,1,2,1,4,1,4,1,Solution Architect,180000,16,-1
